datahora,chuva_obs,chuva_prev,simul_sac,simul_gr5,q_obs
2019-05-20T00:00:00+00:00,0.000,,8.174,5.337,7.870
2019-05-20T06:00:00+00:00,0.000,,8.156,5.282,7.773
2019-05-20T12:00:00+00:00,0.000,,8.139,5.229,7.860
2019-05-20T18:00:00+00:00,0.000,,8.121,5.177,7.667
2019-05-21T00:00:00+00:00,0.000,,8.104,5.127,7.845
2019-05-21T06:00:00+00:00,0.000,,8.087,5.078,7.747
2019-05-21T12:00:00+00:00,0.050,,8.075,5.032,7.647
2019-05-21T18:00:00+00:00,0.000,,8.060,4.987,7.548
2019-05-22T00:00:00+00:00,0.000,,8.043,4.943,7.633
2019-05-22T06:00:00+00:00,0.000,,8.026,4.900,7.443
2019-05-22T12:00:00+00:00,0.000,,8.009,4.860,7.708
2019-05-22T18:00:00+00:00,0.000,,7.992,4.820,7.518
2019-05-23T00:00:00+00:00,0.000,,7.974,4.781,7.420
2019-05-23T06:00:00+00:00,0.000,,7.957,4.743,7.503
2019-05-23T12:00:00+00:00,1.810,,8.103,4.751,7.862
2019-05-23T18:00:00+00:00,2.580,,8.381,4.967,8.222
2019-05-24T00:00:00+00:00,15.130,,9.910,6.131,11.063
2019-05-24T06:00:00+00:00,23.040,,15.845,10.374,13.458
2019-05-24T12:00:00+00:00,0.690,,18.691,18.944,14.943
2019-05-24T18:00:00+00:00,0.080,,18.880,23.530,16.250
2019-05-25T00:00:00+00:00,0.000,,18.203,18.203,18.203
2019-05-25T06:00:00+00:00,0.000,0.020,17.281,13.849,15.945
2019-05-25T12:00:00+00:00,0.000,0.000,16.294,12.162,13.950
2019-05-25T18:00:00+00:00,0.000,0.000,15.330,11.677,12.315
2019-05-26T00:00:00+00:00,0.000,0.000,14.433,11.237,11.040
2019-05-26T06:00:00+00:00,0.000,0.000,13.620,10.832,10.222
2019-05-26T12:00:00+00:00,0.000,0.000,12.896,10.461,9.672
2019-05-26T18:00:00+00:00,0.000,0.000,12.260,10.120,9.122
2019-05-27T00:00:00+00:00,0.000,0.000,11.706,9.803,8.847
2019-05-27T06:00:00+00:00,0.000,0.000,11.227,9.509,8.747
2019-05-27T12:00:00+00:00,0.050,0.000,10.813,9.236,8.653
2019-05-27T18:00:00+00:00,0.000,0.000,10.459,8.981,8.377
2019-05-28T00:00:00+00:00,0.000,0.000,10.155,8.743,8.277
2019-05-28T06:00:00+00:00,0.000,0.000,9.895,8.520,8.183
2019-05-28T12:00:00+00:00,0.000,0.070,9.679,8.311,8.358
2019-05-28T18:00:00+00:00,4.850,2.830,9.744,8.225,8.540
2019-05-29T00:00:00+00:00,4.530,6.950,10.406,8.874,9.083
2019-05-29T06:00:00+00:00,1.900,1.990,10.830,10.923,8.898
2019-05-29T12:00:00+00:00,0.140,4.000,11.486,13.022,9.357
2019-05-29T18:00:00+00:00,0.050,0.380,11.660,12.979,9.998
2019-05-30T00:00:00+00:00,0.000,0.240,11.546,12.288,9.723
2019-05-30T06:00:00+00:00,0.000,0.830,11.365,11.060,9.815
2019-05-30T12:00:00+00:00,0.110,2.100,11.350,10.566,9.173
2019-05-30T18:00:00+00:00,0.160,2.320,11.464,10.717,8.990
2019-05-31T00:00:00+00:00,1.160,0.920,11.490,11.080,8.898
2019-05-31T06:00:00+00:00,0.030,0.020,11.340,11.151,8.618
2019-05-31T12:00:00+00:00,0.050,0.010,11.095,10.700,8.522
2019-05-31T18:00:00+00:00,0.030,0.680,10.848,10.018,8.208
2019-06-01T00:00:00+00:00,6.440,0.120,10.554,9.535,16.438
